fonte;ano;nome_cientifico;tipo;producao;lat;lon
PMAP-SC;2004;Sardinella brasiliensis;Mapa de bordo;22000;-23;-44,5167
PMAP-SC;2004;Sardinella brasiliensis;Mapa de bordo;18460;-23,1167;-44,5167
PMAP-SC;2004;Sardinella brasiliensis;Mapa de bordo;18460;-23,1333;-44,4667
PMAP-SC;2004;Sardinella brasiliensis;Mapa de bordo;23600;-23,1833;-44,2833
PMAP-SC;2004;Sardinella brasiliensis;Mapa de bordo;19280;-23,2;-44,1667
PMAP-SC;2004;Sardinella brasiliensis;Mapa de bordo;30000;-23,2167;-44,4667
PMAP-SC;2004;Sardinella brasiliensis;Mapa de bordo;9060;-23,2333;-44
PMAP-SC;2004;Sardinella brasiliensis;Mapa de bordo;22250;-23,25;-44,4833
PMAP-SC;2004;Sardinella brasiliensis;Mapa de bordo;11500;-23,2667;-44,1167
PMAP-SC;2004;Sardinella brasiliensis;Mapa de bordo;49950;-23,2667;-44,4667
PMAP-SC;2004;Sardinella brasiliensis;Mapa de bordo;11500;-23,3;-44,2
PMAP-SC;2004;Sardinella brasiliensis;Mapa de bordo;12200;-23,3667;-44,55
PMAP-SC;2004;Sardinella brasiliensis;Mapa de bordo;25000;-25,2833;-47,2178
PMAP-SC;2004;Sardinella brasiliensis;Mapa de bordo;25000;-25,3414;-47,15
PMAP-SC;2004;Sardinella brasiliensis;Mapa de bordo;51900;-26,3833;-48,4333
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;3320;-23,1333;-44,4
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;50000;-25,0528;-47,9722
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;4000;-25,5028;-48,0069
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;4000;-25,5044;-47,9719
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;13,33;-25,7194;-48,2222
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;20000;-25,7861;-47,8889
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;20000;-25,8167;-47,9
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;15000;-25,8333;-48
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;15000;-25,8333;-48,9333
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;6500;-25,8833;-48,3167
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;10000;-25,9167;-48,0667
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;6500;-25,95;-48,2167
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;13,33;-25,9833;-48,3
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;16000;-26,0028;-48,9667
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;16500;-26,0028;-48,9872
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;20500;-26,0167;-48,3
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;21000;-26,0194;-48,9833
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;18500;-26,0208;-48,9861
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;10000;-26,0403;-48,2497
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;4000;-26,0497;-48,2497
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;30000;-26,05;-47,9667
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;10000;-26,05;-48,25
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;8000;-26,0667;-48,4167
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;8000;-26,0694;-47,9667
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;5000;-26,0833;-48,2833
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;12500;-26,0833;-48,3167
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;12000;-26,1167;-48,05
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;12000;-26,15;-47,85
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;8000;-26,15;-48,1333
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;6000;-26,1833;-46,3167
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;23000;-26,1833;-48,1167
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;7500;-26,1833;-48,15
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;8000;-26,1861;-48,2539
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;22000;-26,1875;-47,9694
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;15000;-26,2194;-48,1556
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;5000;-26,25;-48,0667
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;10000;-26,25;-48,2
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;15000;-26,2667;-48,05
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;15000;-26,3;-48,1667
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;18000;-26,3208;-48,1361
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;13,33;-26,3694;-48,4542
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;13000;-26,4;-48,1
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;15000;-26,4667;-48,2333
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;26700;-26,4667;-48,2833
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;2052;-26,5;-48,35
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;15000;-26,5833;-48,45
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;35000;-26,6;-48,1889
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;15000;-26,6;-48,4222
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;6000;-26,6167;-48,4833
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;3000;-26,6333;-48,55
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;6000;-26,65;-48,45
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;5000;-26,6528;-48,4389
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;4000;-26,7089;-48,4625
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;5000;-26,7167;-48,6333
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;5500;-26,7389;-48,3528
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;20000;-26,75;-48,3167
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;5500;-26,7714;-48,3875
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;10000;-26,7833;-48,4667
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;15000;-26,8333;-48,5
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;7000;-26,9333;-49,4
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;4000;-26,9667;-48,3333
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;1500;-26,9667;-49,0333
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;3900;-27,0667;-48,1833
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;5000;-27,1167;-48,1667
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;7000;-27,6667;-48,2167
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;16000;-27,6667;-48,3167
PMAP-SC;2005;Sardinella brasiliensis;Mapa de bordo;6000;-27,9939;-48,4333
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;13000;-18,4833;-48,6333
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;25500;-20,1333;-48,3
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;3000;-22,9833;-48,3667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;1750;-23,0167;-44,4667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;5000;-23,05;-44,15
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;5760;-23,05;-44,4667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;1960;-23,0667;-44,4333
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;6000;-23,0667;-44,4667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;2680;-23,0667;-44,5667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;7460;-23,0833;-44,3333
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;2360;-23,0833;-44,3667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;5260;-23,0833;-44,3833
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;5260;-23,0833;-44,4167
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;1700;-23,0833;-44,4333
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;740;-23,0833;-44,4667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;7800;-23,0833;-44,5
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;3680;-23,0833;-44,55
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;3346,67;-23,0833;-44,5667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;846,67;-23,0833;-44,5833
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;2080;-23,1;-44,5667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;7846,67;-23,1;-44,5833
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;8750;-23,1;-44,6
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;2040;-23,1;-44,6167
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;3100;-23,1167;-44,5333
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;16180;-23,1333;-44,3833
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;1960;-23,1333;-44,4833
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;1320;-23,1333;-44,55
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;5000;-23,15;-44,3333
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;16980;-23,15;-44,3833
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;700;-23,15;-44,4667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;1880;-23,15;-44,5
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;1320;-23,15;-44,5833
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;6500;-23,15;-44,6167
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;5700;-23,1667;-44,2667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;4000;-23,1667;-44,4
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;10200;-23,2333;-44,35
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;13500;-23,25;-44,5
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;6000;-24,0833;-47,05
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;6000;-24,1;-47,2
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;41000;-24,1667;-46,4167
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;14810;-24,255;-45,7722
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;92110;-24,2672;-46,0522
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;34280;-24,2697;-43,5597
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;11460;-24,3381;-46,2911
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;14810;-24,37;-45,9444
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;43900;-24,4314;-45,9833
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;3850;-24,5833;-46,2833
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;3850;-24,6667;-46,25
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;35000;-24,7667;-46
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;28100;-24,7833;-45,2833
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;20000;-24,8739;-45,8103
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;5666,67;-25,3;-47,3
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;4000;-25,3167;-47,65
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;40000;-25,3333;-47,3167
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;5666,67;-25,3333;-47,35
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;9050;-25,3333;-47,4667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;5666,67;-25,3667;-47,45
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;15333,33;-25,4;-47,4833
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;15333,33;-25,4;-47,5
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;2000;-25,4333;-48,1333
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;15333,33;-25,45;-47,5167
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;9050;-25,5;-47,65
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;5000;-25,8333;-47,9
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;10000;-25,9167;-47,6667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;7000;-25,9333;-48,5333
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;3000;-25,9833;-48,35
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;5000;-26,05;-48
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;8666,67;-26,05;-48,35
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;8666,67;-26,05;-48,3667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;8666,67;-26,0667;-48,3667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;5000;-26,0667;-48,4
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;22333,33;-26,0833;-48,4167
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;15000;-26,1167;-48,3167
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;9000;-26,1333;-47,6
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;16580;-26,1333;-47,6833
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;6520;-26,1333;-48,1167
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;10000;-26,1333;-48,1333
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;2000;-26,1333;-48,1667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;5000;-26,1333;-48,2333
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;22333,33;-26,1333;-48,3667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;22333,33;-26,15;-48,2667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;25500;-26,15;-48,4
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;5400;-26,1667;-48,3333
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;9000;-26,1694;-48,1703
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;9640;-26,1833;-48,2
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;2000;-26,1958;-48,2589
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;7440;-26,2278;-46,3333
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;10000;-26,2333;-47,6167
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;5000;-26,2333;-47,8167
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;30000;-26,2333;-48,3
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;9000;-26,25;-47,6833
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;5000;-26,25;-48,0667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;25000;-26,3333;-48,35
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;25000;-26,3333;-48,3833
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;9000;-26,3667;-48,35
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;7000;-26,4;-48,3333
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;14400;-26,4111;-47,7583
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;4000;-26,4167;-47,6833
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;12000;-26,43;-47,6922
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;15000;-26,4667;-48,3
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;10000;-26,5;-48,1667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;9620;-26,5;-48,3167
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;9000;-26,5;-48,4167
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;8000;-26,5167;-48,3167
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;20000;-26,55;-48,4667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;18000;-26,5667;-48,1667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;600;-26,5667;-48,2069
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;9300;-26,5667;-48,2667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;9300;-26,5833;-48,25
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;5000;-26,5833;-48,3333
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;15000;-26,5833;-48,4
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;9320;-26,5833;-48,5
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;10000;-26,6;-48,3333
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;2500;-26,6;-48,3667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;15000;-26,6167;-48,4333
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;2500;-26,6333;-48,4222
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;2000;-26,65;-48,25
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;4000;-26,6667;-48,2667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;4000;-26,6667;-48,3833
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;3500;-26,6833;-48,4667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;3400;-26,7167;-48,1833
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;600;-26,7175;-48,2583
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;9000;-26,75;-48,3667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;10000;-26,7667;-48,3
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;1500;-26,7667;-48,45
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;20000;-26,7833;-48,45
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;5000;-26,7833;-48,5
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;1500;-26,8;-48,4667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;1000;-26,8167;-48,4833
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;6000;-26,8167;-48,5333
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;4000;-26,8333;-48,2167
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;15000;-26,8333;-48,4
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;5000;-26,8333;-48,5167
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;6000;-26,8333;-48,5333
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;10000;-26,85;-48,4
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;7000;-26,85;-48,45
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;1000;-26,85;-48,4667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;6200;-26,85;-48,5
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;9000;-26,8667;-48,3
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;2000;-26,8667;-48,4167
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;2000;-26,8667;-48,4333
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;6800;-26,8667;-48,45
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;5400;-26,8667;-48,5167
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;5000;-26,8667;-48,5333
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;7000;-26,8792;-48,4317
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;14750;-26,9003;-48,5172
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;3000;-26,9167;-48,3333
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;1600;-26,9333;-48,5167
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;1600;-26,95;-48
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;22000;-26,9503;-48,2506
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;14750;-26,9836;-48,4839
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;8000;-27;-48,45
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;14500;-27,0167;-48,25
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;3000;-27,0333;-48,4958
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;20000;-27,0347;-48,3028
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;14500;-27,0625;-48,3067
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;12000;-27,0667;-48,1333
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;30000;-27,0667;-48,2667
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;42000;-27,1586;-48,1833
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;3400;-29,2833;-49,4167
PMAP-SC;2006;Sardinella brasiliensis;Mapa de bordo;220;-32,2667;-51,7833
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;9000;-16;-51,5
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;5000;-21,8333;-42,65
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;8500;-21,9167;-40,5833
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;1850;-22,0439;-44,5458
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;3150;-22,1083;-44,535
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;3150;-22,1236;-44,5086
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;2280;-22,1369;-44,6725
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;2380;-22,1558;-44,49
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;11900;-22,1608;-44,5022
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;10230;-22,3583;-44,3867
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;10230;-22,3867;-44,4292
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;15000;-22,4167;-41,2167
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;4500;-22,4833;-41,6
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;4750;-22,5875;-41,5453
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;5000;-22,6078;-41,6214
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;5000;-22,6556;-41,5694
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;17000;-22,6611;-41,6375
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;5000;-22,6667;-41,65
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;5000;-22,6667;-41,7833
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;4750;-22,6861;-41,5233
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;5000;-22,6875;-41,65
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;4750;-22,7231;-41,6031
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;12420;-22,7367;-41,5517
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;12000;-22,75;-41,5833
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;22000;-22,75;-41,6333
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;19700;-22,755;-41,56
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;9415;-22,7561;-41,5533
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;4000;-22,76;-44,5342
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;25240;-22,7611;-41,5542
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;4750;-22,7742;-41,6392
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;21000;-22,7767;-41,7292
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;4000;-22,7856;-41,6769
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;18000;-22,7864;-41,7033
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;15000;-22,8;-41,6
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;9000;-22,8;-41,6167
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;5500;-22,8083;-41,6089
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;5000;-22,8167;-41,7167
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;6500;-22,825;-41,7397
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;4000;-22,825;-43,7836
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;15000;-22,8256;-41,7114
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;5500;-22,8278;-41,7867
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;6800;-22,8286;-41,7869
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;8550;-22,8333;-43,7
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;6500;-22,8367;-41,7086
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;10000;-22,85;-41,6667
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;8000;-22,85;-42,7667
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;5600;-22,8514;-42,8508
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;17000;-22,8519;-41,7667
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;30000;-22,8531;-41,7183
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;12000;-22,8533;-41,6131
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;21620;-22,8556;-41,8361
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;9000;-22,8578;-41,8756
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;8000;-22,8658;-41,78
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;20000;-22,8667;-41,2833
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;6000;-22,8667;-41,7
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;11750;-22,8778;-41,7414
PMAP-SC;2008;Sardinella brasiliensis;Mapa de bordo;9000;-22,8833;-41,6667
